gene_name,log10FPKM,,,
acer2,-0.227,,,
acer3,-0.027,,,
ache,0.052,,,
acin1a,1.682,,,
acin1b,1.238,,,
ACKR2,-4.000,,,
ackr3a,-0.012,,,
ackr3b,1.500,,,
ackr4a,-0.509,,,
ackr4b,-0.092,,,
aclya,1.227,,,
aclyb,-0.553,,,
acmsd,-0.394,,,
aco1,1.367,,,
aco2,1.676,,,
acod1,-0.044,,,
acot11a,0.921,,,
acot11b,-0.099,,,
ACOT12,-0.814,,,
acot13,1.405,,,
acot14,1.002,,,
acot15,1.270,,,
acot16,-0.481,,,
acot17,-0.706,,,
acot18,0.541,,,
acot19,-0.864,,,
acot20,0.182,,,
acot21,-4.000,,,
acot22,-4.000,,,
acot7,0.064,,,
acot8,0.777,,,
acot9.1,0.888,,,
acot9.2,-0.596,,,
acox1,0.920,,,
acox3,0.289,,,
acoxl,0.090,,,
acp1,1.217,,,
acp2,1.283,,,
acp5a,-0.290,,,
acp5b,-0.127,,,
acp6,0.610,,,
acp7,0.597,,,
acsbg1,-0.864,,,
acsbg2,1.024,,,
acsf2,1.599,,,
ACSF3,0.228,,,
acsl1a,1.037,,,
acsl1b,1.248,,,
acsl2,-0.180,,,
acsl3a,0.037,,,
acsl3b,0.456,,,
acsl4a,0.341,,,
acsl4b,1.106,,,
acsl5,-0.626,,,
acsm3,0.499,,,
acss1,0.650,,,
acss2,1.355,,,
acss2l,-1.778,,,
acss3,0.600,,,
acta1a,1.676,,,
acta1b,2.430,,,
acta2,0.976,,,
actb1,4.189,,,
actb2,4.144,,,
actc1b,3.441,,,
actc1c,0.293,,,
actl6a,1.462,,,
actl6b,-0.886,,,
actn1,2.346,,,
actn2a,-0.959,,,
actn2b,-0.370,,,
actn3a,1.270,,,
actn3b,0.842,,,
actn4,2.152,,,
actr1,1.566,,,
actr10,1.313,,,
actr2a,1.473,,,
actr2b,0.923,,,
actr3,2.552,,,
actr3b,-1.331,,,
actr5,0.548,,,
actr6,0.956,,,
actr8,0.717,,,
acvr1ba,1.083,,,
acvr1bb,0.902,,,
ACVR1C,-4.000,,,
acvr1l,1.347,,,
acvr2aa,1.010,,,
acvr2ab,0.359,,,
acvr2ba,0.674,,,
acvr2bb,0.328,,,
acvrl1,1.347,,,
acy1,1.137,,,
acy3.1,0.003,,,
acy3.2,1.157,,,
acyp1,-0.054,,,
acyp2,0.577,,,
ada,1.553,,,
ada2a,0.946,,,
ada2b,-4.000,,,
adad1,-2.000,,,
adad2,-0.203,,,
adal,-0.012,,,
adam10a,1.726,,,
adam10b,0.693,,,
adam11,-0.770,,,
adam12,-0.787,,,
ADAM12 (1 of many),-0.499,,,
adam15,-0.854,,,
adam17a,1.216,,,
adam17b,0.759,,,
adam19a,0.930,,,
adam19b,0.018,,,
adam22,0.018,,,
adam23a,-0.310,,,
adam28,1.894,,,
adam8a,0.108,,,
adam8b,0.522,,,
adam9,1.089,,,
adamts1,1.841,,,
adamts10,-0.284,,,
adamts12,0.700,,,
adamts13,0.189,,,
adamts14,0.889,,,
adamts15a,0.059,,,
adamts15b,0.027,,,
adamts16,-1.046,,,
adamts17,0.339,,,
adamts18,0.823,,,
adamts2,0.817,,,
adamts3,0.476,,,
adamts5,-0.287,,,
adamts6,-0.331,,,
ADAMTS7,-0.921,,,
adamts8a,0.844,,,
adamts9,-0.509,,,
adamtsl2,-1.632,,,
adamtsl3,-0.778,,,
adamtsl5,0.830,,,
adamtsl7,1.817,,,
adap2,-0.444,,,
adar,0.540,,,
adarb1a,-0.448,,,
adarb1b,-0.416,,,
adarb2,-0.387,,,
adat1,0.171,,,
adat2,-0.009,,,
adat3,0.256,,,
adck1,0.419,,,
adck2,0.119,,,
adck5,0.243,,,
adcy1a,-2.176,,,
adcy1b,-0.273,,,
adcy2a,-1.176,,,
adcy2b,-0.337,,,
adcy3a,-0.123,,,
adcy3b,-2.477,,,
adcy5,-0.692,,,
adcy6a,-0.125,,,
adcy6b,0.069,,,
adcy7,0.746,,,
adcy8,-4.000,,,
adcy9,0.855,,,
adcyap1a,0.025,,,
adcyap1b,0.086,,,
add1,1.421,,,
add2,-0.242,,,
add3a,1.094,,,
add3b,-1.247,,,
adgb,-1.875,,,
adgra1a,-1.097,,,
adgra2,0.227,,,
adgra3,0.853,,,
adgrb1a,-0.413,,,
adgrb1b,-0.260,,,
adgrb2,-0.405,,,
adgrb3,-0.112,,,
adgrd1,-0.464,,,
adgrd2,-1.097,,,
adgre10,-0.569,,,
adgre13,-2.176,,,
adgre14,-4.000,,,
adgre15,-4.000,,,
adgre16,-4.000,,,
adgre17,-4.000,,,
adgre19,-4.000,,,
adgre5a,-4.000,,,
adgre5b.2,-0.678,,,
adgre5b.3,1.017,,,
adgre7,-4.000,,,
adgre8,-1.875,,,
adgre9,-2.176,,,
adgrf11,-4.000,,,
adgrf3a,-2.176,,,
adgrf3b,-0.123,,,
adgrf6,-0.844,,,
adgrf7,-0.946,,,
adgrf8,-0.921,,,
adgrg1,1.286,,,
adgrg11,-4.000,,,
adgrg2a,-0.834,,,
adgrg3,-1.062,,,
adgrg4a,-0.875,,,
adgrg4b,-1.000,,,
adgrg6,0.381,,,
adgrg7.1,-4.000,,,
adgrg7.2,-4.000,,,
adgrl1.1,-0.513,,,
adgrl1a,-0.591,,,
adgrl2a,0.330,,,
adgrl2b.1,-4.000,,,
ADGRL3,-0.310,,,
adgrl3.1,-0.416,,,
adgrl4,-0.946,,,
adgrv1,-0.316,,,
adh5,1.813,,,
adh8a,-0.273,,,
adh8b,1.796,,,
adhfe1,1.098,,,
adi1,1.290,,,
adipoqa,-4.000,,,
adipoqb,-4.000,,,
adipor1a,1.236,,,
adipor1b,1.135,,,
adipor2,1.624,,,
adka,1.566,,,
adkb,1.248,,,
adm2a,0.811,,,
adm2b,-4.000,,,
adma,1.284,,,
admb,0.908,,,
admp,-4.000,,,
adnp2a,0.613,,,
adnp2b,1.125,,,
adnpa,1.139,,,
adnpb,0.073,,,
adoa,0.592,,,
adob,0.709,,,
adora1a,-1.273,,,
adora1b,-0.909,,,
adora2aa,0.387,,,
adora2ab,-0.548,,,
adora2b,1.004,,,
adpgk,0.782,,,
adpgk2,0.248,,,
adprh,0.558,,,
adprhl1,-0.986,,,
adprhl2,0.642,,,
adprm,0.841,,,
adra1aa,-2.000,,,
adra1ab,-1.363,,,
adra1ba,0.445,,,
adra1bb,-4.000,,,
adra1d,-0.523,,,
adra2a,-0.363,,,
adra2b,-1.273,,,
adra2c,-0.490,,,
adra2da,-0.528,,,
adra2db,-4.000,,,
adrb1,-0.796,,,
adrb2a,-0.016,,,
adrb2b,-2.000,,,
adrb3a,0.368,,,
adrb3b,-4.000,,,
adrm1,1.514,,,
adsl,1.265,,,
adss,0.783,,,
adssl,1.239,,,
adssl1,0.176,,,
adtrp1,0.578,,,
aebp1,0.168,,,
aebp2,1.144,,,
aep1,3.270,,,
aes,0.274,,,
afap1,1.159,,,
afap1l1a,0.998,,,
afap1l1b,-0.477,,,
afap1l2,0.434,,,
afdna,0.488,,,
aff1,-0.897,,,
aff2,-0.071,,,
aff3,0.647,,,
aff4,0.495,,,
afg1la,0.257,,,
afg1lb,0.102,,,
afg3l2,0.938,,,
afmid,0.261,,,
afp4,0.044,,,
aftpha,0.941,,,
aftphb,0.503,,,
aga,0.624,,,
agap1,0.908,,,
agap2,-0.509,,,
agap3,1.051,,,
AGBL1,-0.921,,,
agbl2,-1.030,,,
agbl4,-0.062,,,
agbl5,0.959,,,
agfg1a,0.887,,,
agfg1b,0.916,,,
aggf1,0.490,,,
agk,0.757,,,
agla,0.819,,,
aglb,-0.714,,,
agmat,0.009,,,
agmo,-0.187,,,
ago1,0.486,,,
ago2,0.483,,,
ago3a,0.586,,,
ago3b,0.696,,,
ago4,0.552,,,
agpat2,0.667,,,
agpat3,1.876,,,
agpat4,1.327,,,
agpat5,1.046,,,
agpat9l,1.305,,,
agps,0.827,,,
agr1,1.389,,,
agr2,1.876,,,
agrn,1.625,,,
agrp,0.493,,,
agt,-0.972,,,
agtpbp1,0.136,,,
agtr1a,-4.000,,,
agtr1b,-1.115,,,
agtr2,0.553,,,
agtrap,-0.325,,,
agxt2,1.232,,,
agxta,-0.972,,,
agxtb,0.072,,,
ahctf1,0.611,,,
ahcy,2.071,,,
ahcyl1,1.252,,,
ahcyl2,1.338,,,
ahdc1,-0.387,,,
ahi1,0.287,,,
ahnak,1.481,,,
ahr1a,-1.176,,,
ahr1b,-0.013,,,
ahr2,0.923,,,
ahrra,-0.864,,,
ahrrb,-4.000,,,
ahsa1a,0.358,,,
ahsa1b,1.090,,,
ahsg1,-4.000,,,
ahsg2,-4.000,,,
aicda,-4.000,,,
aida,1.295,,,
aif1l,0.344,,,
aifm1,1.199,,,
aifm2,1.536,,,
aifm3,-0.770,,,
aifm4,0.576,,,
aifm5,-2.477,,,
aig1,-0.257,,,
aimp1,1.272,,,
aimp2,1.374,,,
aip,1.544,,,
aipl1,-0.047,,,
aipl2,0.382,,,
aire,-0.834,,,
ajap1,-0.875,,,
ajuba,1.623,,,
ak1,2.823,,,
ak2,1.942,,,
ak3,1.522,,,
ak4,1.186,,,
ak5,-0.334,,,
ak5l,1.573,,,
AK6,1.202,,,
ak7a,-4.000,,,
ak7b,-0.596,,,
ak8,-0.886,,,
ak9,-0.337,,,
akap10,0.453,,,
akap11,-0.092,,,
akap12a,-1.574,,,
akap12b,0.783,,,
akap13,-0.824,,,
akap17a,0.301,,,
akap1a,-2.176,,,
akap1b,0.716,,,
akap6,-0.298,,,
akap7,-0.242,,,
akap8l,1.420,,,
akap9,0.833,,,
akip1,0.588,,,
akirin1,1.590,,,
akirin2,1.348,,,
akna,-0.477,,,
aknad1,-4.000,,,
akr1a1a,-0.678,,,
akr1a1b,1.363,,,
akr1b1,0.741,,,
akr7a3,0.994,,,
akt1,0.322,,,
akt1s1,1.609,,,
akt2,1.086,,,
akt2l,1.356,,,
akt3a,0.187,,,
akt3b,0.126,,,
aktip,1.715,,,
AL590134.1,-1.247,,,
AL590145.1,-0.409,,,
AL590146.1,-4.000,,,
AL590149.1,-0.490,,,
AL590150.1,0.044,,,
AL590151.1,-0.119,,,
AL590151.2,-0.699,,,
AL590152.1,-1.301,,,
AL627088.1,-4.000,,,
AL627126.1,-4.000,,,
AL627164.1,-4.000,,,
AL627258.1,-4.000,,,
AL627305.1,-0.875,,,
AL627305.2,-4.000,,,
AL627305.3,-0.778,,,
AL645691.1,-1.273,,,
AL645691.2,-0.344,,,
AL645792.1,-4.000,,,
AL645792.2,-2.176,,,
AL732488.1,0.978,,,
AL732515.1,-4.000,,,
AL732567.1,-0.959,,,
AL732629.1,-4.000,,,
AL772146.1,-4.000,,,
AL772146.2,-4.000,,,
AL772219.1,-4.000,,,
AL772298.1,-4.000,,,
AL772298.3,-4.000,,,
AL772300.1,-0.574,,,
AL772300.2,-4.000,,,
AL772314.1,-4.000,,,
AL772362.1,-1.477,,,
AL772373.1,-0.416,,,
AL772382.1,0.521,,,
AL773558.1,-0.083,,,
AL805905.1,-2.000,,,
AL807389.1,-4.000,,,
AL807749.1,-1.363,,,
AL807749.2,-4.000,,,
AL807792.1,-4.000,,,
AL808121.1,-1.477,,,
AL808129.1,-0.357,,,
AL808129.2,-4.000,,,
AL831726.1,-1.030,,,
AL831726.2,-4.000,,,
AL831726.3,-4.000,,,
AL831745.1,-0.864,,,
AL831745.2,-1.331,,,
AL831745.3,-0.886,,,
AL831768.1,-1.632,,,
AL833789.1,-1.176,,,
AL840638.1,0.184,,,
AL840638.2,-0.585,,,
AL844141.1,-0.632,,,
AL844172.1,-0.886,,,
AL844185.1,-1.523,,,
AL844186.1,-0.428,,,
AL844192.1,-4.000,,,
AL844518.1,-1.436,,,
AL844563.1,-4.000,,,
AL845295.1,-1.247,,,
AL845295.2,-4.000,,,
AL845306.1,-4.000,,,
AL845312.1,-4.000,,,
AL845320.1,-4.000,,,
AL845320.2,-4.000,,,
AL845324.1,-1.523,,,
AL845324.2,-4.000,,,
AL845330.1,-4.000,,,
AL845357.1,-4.000,,,
AL845362.1,-0.301,,,
AL845365.1,-4.000,,,
AL845369.1,-4.000,,,
AL845369.2,-4.000,,,
AL845419.1,-1.097,,,
AL845428.1,-4.000,,,
AL845428.2,-4.000,,,
AL845428.3,-4.000,,,
AL845435.1,-0.373,,,
AL845550.1,0.146,,,
AL928650.1,-4.000,,,
AL928650.2,0.507,,,
AL928650.3,-0.212,,,
AL928650.4,-0.059,,,
AL928657.1,-0.360,,,
AL928657.2,-4.000,,,
AL928685.1,-4.000,,,
AL928685.2,-0.227,,,
AL928685.3,-0.986,,,
AL928685.4,-4.000,,,
AL928707.1,-4.000,,,
AL928707.2,-4.000,,,
AL928707.3,-4.000,,,
AL928714.1,-1.574,,,
AL928716.1,-4.000,,,
AL928724.1,-1.363,,,
AL928725.1,-4.000,,,
AL928808.1,-1.436,,,
AL928824.1,-0.432,,,
AL928824.2,-1.875,,,
AL928824.3,-1.632,,,
AL928835.1,-1.574,,,
AL928845.1,-4.000,,,
AL928851.1,-4.000,,,
AL928854.1,-1.000,,,
AL928866.1,-4.000,,,
AL928866.2,-4.000,,,
AL928870.1,-4.000,,,
AL928875.1,-4.000,,,
AL928881.1,-4.000,,,
AL928908.1,-4.000,,,
AL928908.2,-4.000,,,
AL928908.3,0.064,,,
AL928920.1,-4.000,,,
AL928920.2,-4.000,,,
AL928920.3,-4.000,,,
AL928920.4,-0.854,,,
AL928927.1,-4.000,,,
AL928951.1,-4.000,,,
AL928977.1,-4.000,,,
AL929009.1,-0.072,,,
AL929009.2,-4.000,,,
AL929017.1,-0.729,,,
AL929017.2,-4.000,,,
AL929023.1,-4.000,,,
AL929028.1,-0.591,,,
AL929032.1,-4.000,,,
AL929048.1,-0.569,,,
AL929058.1,-4.000,,,
AL929092.1,-4.000,,,
AL929105.1,-4.000,,,
AL929114.1,-4.000,,,
AL929114.2,-0.638,,,
AL929171.1,-1.523,,,
AL929182.1,-0.409,,,
AL929192.1,-4.000,,,
AL929208.1,-1.875,,,
AL929210.1,-0.350,,,
AL929210.2,-0.295,,,
AL929216.1,-4.000,,,
AL929217.1,-4.000,,,
AL929220.1,-1.574,,,
AL929222.1,-4.000,,,
AL929222.2,-0.110,,,
AL929229.1,-0.721,,,
AL929237.1,-0.183,,,
AL929237.3,-4.000,,,
AL929237.4,-4.000,,,
AL929243.1,-0.844,,,
AL929266.1,-4.000,,,
AL929276.1,-4.000,,,
AL929276.2,-4.000,,,
AL929294.1,-4.000,,,
AL929304.1,-2.176,,,
AL929305.1,-4.000,,,
AL929307.1,-4.000,,,
AL929309.1,-4.000,,,
AL929315.1,-1.523,,,
AL929321.1,-4.000,,,
AL929321.2,-4.000,,,
AL929321.3,-4.000,,,
AL929321.4,-4.000,,,
AL929334.1,-4.000,,,
AL929345.1,-4.000,,,
AL929349.1,-4.000,,,
AL929378.1,-4.000,,,
AL929396.1,-1.875,,,
AL929435.1,1.432,,,
AL929435.2,-4.000,,,
AL929453.1,-4.000,,,
AL929457.1,-2.000,,,
AL929457.2,-4.000,,,
AL929493.1,-4.000,,,
AL929493.2,-1.778,,,
AL929520.1,-4.000,,,
AL929520.2,-4.000,,,
AL929520.3,-4.000,,,
AL929523.1,-4.000,,,
AL929536.3,-0.203,,,
AL929536.5,0.922,,,
AL929536.6,0.396,,,
AL929576.1,-0.141,,,
AL929586.1,-4.000,,,
AL935044.1,-4.000,,,
AL935044.2,-1.273,,,
AL935044.3,-1.398,,,
AL935044.4,-4.000,,,
AL935053.1,-0.699,,,
AL935065.1,-1.115,,,
AL935115.1,-4.000,,,
AL935117.1,-4.000,,,
AL935126.1,-4.000,,,
AL935126.2,-1.875,,,
AL935144.1,-4.000,,,
AL935145.1,-4.000,,,
AL935145.2,-0.805,,,
AL935153.1,0.300,,,
AL935166.1,-1.632,,,
AL935174.2,0.771,,,
AL935174.3,-1.523,,,
AL935174.5,0.972,,,
AL935183.1,-4.000,,,
AL935184.1,-0.854,,,
AL935184.2,-0.897,,,
AL935186.1,-0.972,,,
AL935186.2,-4.000,,,
AL935186.6,1.757,,,
AL935186.9,1.485,,,
AL935195.1,-4.000,,,
AL935198.1,-1.699,,,
AL935198.2,-0.268,,,
AL935199.1,-4.000,,,
AL935269.1,-1.436,,,
AL935279.1,-4.000,,,
AL935292.1,-4.000,,,
AL935294.1,-4.000,,,
AL935294.2,-0.626,,,
AL935295.1,-0.249,,,
AL935295.2,-0.897,,,
AL935299.1,-4.000,,,
AL935300.1,-0.714,,,
AL935300.2,-1.222,,,
AL935300.3,-0.044,,,
AL935303.1,-4.000,,,
AL935322.1,-4.000,,,
AL935334.1,-4.000,,,
AL953841.1,-4.000,,,
AL953841.2,-0.854,,,
AL953848.2,-4.000,,,
AL953855.1,-4.000,,,
AL953858.1,-4.000,,,
AL953865.1,-4.000,,,
AL953866.1,-4.000,,,
AL953867.1,-0.805,,,
AL953867.2,-0.325,,,
AL953875.1,-4.000,,,
AL953886.1,-0.357,,,
AL953886.2,-4.000,,,
AL953893.1,-4.000,,,
AL953894.1,-4.000,,,
AL953896.1,-0.626,,,
AL953903.1,-4.000,,,
AL953903.2,-4.000,,,
AL953903.3,-4.000,,,
AL953907.1,-1.247,,,
AL953907.2,-1.273,,,
AL953910.1,-4.000,,,
AL954129.1,-4.000,,,
AL954134.1,-1.155,,,
AL954134.2,-4.000,,,
AL954137.1,-4.000,,,
AL954137.2,-4.000,,,
AL954138.1,-1.363,,,
AL954142.1,-4.000,,,
AL954142.2,-4.000,,,
AL954142.3,-4.000,,,
AL954145.1,-4.000,,,
AL954145.2,-4.000,,,
AL954146.1,-1.176,,,
AL954149.1,-0.591,,,
AL954149.2,-0.824,,,
AL954187.1,-4.000,,,
AL954191.1,-1.574,,,
AL954317.1,-4.000,,,
AL954320.1,-4.000,,,
AL954322.2,0.384,,,
AL954322.3,0.198,,,
AL954327.1,-4.000,,,
AL954359.1,-0.533,,,
AL954361.1,-4.000,,,
AL954387.1,-4.000,,,
AL954655.1,-4.000,,,
AL954655.2,-0.706,,,
AL954666.1,-4.000,,,
AL954669.1,-0.854,,,
AL954672.1,-4.000,,,
AL954682.1,0.895,,,
AL954694.1,-0.201,,,
AL954694.2,-4.000,,,
AL954695.1,-4.000,,,
AL954695.2,-1.574,,,
AL954695.3,-4.000,,,
AL954696.1,-0.095,,,
AL954696.2,-4.000,,,
AL954698.1,-4.000,,,
AL954698.2,-4.000,,,
AL954703.1,-4.000,,,
AL954741.1,-0.481,,,
AL954741.2,0.380,,,
AL954767.1,-0.585,,,
AL954831.1,-1.115,,,
AL954832.1,-4.000,,,
AL954848.1,-4.000,,,
AL954861.1,-4.000,,,
AL954861.2,-4.000,,,
alad,1.186,,,
alas1,2.308,,,
alas2,-0.244,,,
alcama,1.701,,,
alcamb,1.737,,,
aldh16a1,0.707,,,
aldh18a1,0.919,,,
aldh1a2,0.439,,,
aldh1a3,0.210,,,
aldh1l1,1.285,,,
aldh1l2,0.722,,,
aldh2.1,1.575,,,
aldh2.2,2.081,,,
aldh3a1,-0.102,,,
aldh3a2a,0.943,,,
aldh3a2b,0.305,,,
aldh3b1,0.891,,,
aldh3b2,-0.706,,,
aldh4a1,0.078,,,
aldh5a1,1.034,,,
aldh6a1,1.489,,,
aldh7a1,1.377,,,
aldh8a1,-0.185,,,
aldh9a1a.1,2.245,,,
aldh9a1a.2,-0.024,,,
aldh9a1b,0.895,,,
aldoaa,2.063,,,
aldoab,1.804,,,
aldob,1.654,,,
aldoca,-4.000,,,
aldocb,1.619,,,
alg1,0.992,,,
alg10,0.253,,,
alg11,0.386,,,
alg12,0.995,,,
alg13,-1.097,,,
alg14,0.968,,,
alg2,1.044,,,
alg3,0.861,,,
alg5,1.507,,,
alg6,0.898,,,
alg8,0.554,,,
alg9,0.762,,,
alk,-2.477,,,
alkal1,-0.834,,,
alkal2a,-0.133,,,
alkal2b,-4.000,,,
alkbh1,0.353,,,
alkbh2,0.549,,,
alkbh3,0.851,,,
alkbh4,0.357,,,
alkbh5,0.725,,,
alkbh6,0.661,,,
alkbh7,0.677,,,
alkbh8,0.187,,,
allc,-0.834,,,
alms1,0.655,,,
alox12,1.257,,,
alox5a,0.969,,,
alox5ap,-0.796,,,
alox5b.1,-2.176,,,
alox5b.2,-0.814,,,
alox5b.3,-4.000,,,
ALOXE3,-0.864,,,
alp3,-0.986,,,
alpi.1,1.800,,,
alpi.2,-0.224,,,
alpk2,-0.897,,,
alpk3a,-0.574,,,
alpk3b,-4.000,,,
alpl,0.408,,,
als2a,0.613,,,
als2b,0.176,,,
alx1,-0.543,,,
alx4a,-0.424,,,
alx4b,-1.097,,,
alyref,2.175,,,
amacr,0.350,,,
ambn,-2.000,,,
ambp,-0.046,,,
ambra1a,0.481,,,
ambra1b,-0.135,,,
amd1,0.773,,,
AMDHD1,-1.115,,,
amdhd2,0.776,,,
amer1,0.576,,,
amer2,0.567,,,
amfra,1.290,,,
amfrb,-4.000,,,
amh,-2.176,,,
amigo1,-0.753,,,
amigo3,-0.119,,,
ammecr1,1.062,,,
amn,-0.753,,,
amn1,0.258,,,
amot,0.052,,,
amotl2a,1.344,,,
amotl2b,1.563,,,
ampd1,0.864,,,
ampd2a,0.173,,,
ampd2b,-0.398,,,
ampd3a,-0.018,,,
ampd3b,1.757,,,
amph,0.283,,,
amt,0.945,,,
amy2a,-0.325,,,
anapc1,0.579,,,
anapc10,1.176,,,
anapc11,1.699,,,
anapc13,1.378,,,
anapc15,1.341,,,
anapc16,1.921,,,
anapc2,0.617,,,
anapc4,0.393,,,
anapc5,0.457,,,
anapc7,0.757,,,
and1,3.548,,,
and2,3.436,,,
and3,3.148,,,
and4,1.628,,,
angel1,-0.814,,,
angel2,1.052,,,
angpt1,0.090,,,
angpt2a,-4.000,,,
angpt2b,-4.000,,,
angpt4,-4.000,,,
angptl1a,0.338,,,
angptl1b,-1.030,,,
angptl2a,0.479,,,
angptl2b,0.919,,,
angptl3,-1.875,,,
angptl4,2.763,,,
angptl5,0.400,,,
angptl6,-2.000,,,
angptl7,2.072,,,
ank1a,1.152,,,
ank1b,-0.909,,,
ank2a,-0.761,,,
ank2b,0.814,,,
ank3a,1.331,,,
ank3b,1.164,,,
ankar,-4.000,,,
ankdd1a,-0.367,,,
ankdd1b,0.079,,,
ankef1a,-4.000,,,
ankef1b,-0.328,,,
ANKFN1,-0.409,,,
ankfy1,0.677,,,
ankha,0.009,,,
ankhb,0.890,,,
ankhd1,0.764,,,
ankib1a,0.310,,,
ankib1b,0.614,,,
ankk1,-0.227,,,
ankle2,0.206,,,
ankmy1,-0.753,,,
ankmy2a,0.766,,,
ankmy2b,-4.000,,,
ankra2,0.893,,,
ankrd10a,0.666,,,
ankrd10b,1.300,,,
ankrd11,0.891,,,
ankrd12,1.310,,,
ankrd13a,1.048,,,
ankrd13b,-0.334,,,
ankrd13c,1.442,,,
ankrd13d,-0.490,,,
ankrd16,0.686,,,
ankrd1a,-0.215,,,
ankrd1b,0.486,,,
ankrd2,-4.000,,,
ankrd22,1.656,,,
ankrd24,-0.287,,,
ankrd27,0.757,,,
ankrd28b,1.073,,,
ankrd29,-2.000,,,
ankrd31,-1.247,,,
ankrd33aa,-0.328,,,
ankrd33ab,-0.509,,,
ankrd33ba,0.100,,,
ankrd33bb,-0.921,,,
ankrd34a,-4.000,,,
ankrd34ba,-0.585,,,
ankrd34bb,-1.135,,,
ankrd37,-0.402,,,
ankrd39,0.518,,,
ankrd40,1.039,,,
ankrd44,0.032,,,
ankrd45,-0.921,,,
ankrd46a,0.730,,,
ankrd46b,0.375,,,
ankrd49,0.139,,,
ANKRD50,0.685,,,
ankrd50l,0.827,,,
ankrd52a,0.232,,,
ankrd52b,-0.721,,,
ankrd54,1.106,,,
ankrd55,-0.363,,,
ankrd63,-1.436,,,
ANKRD66,-1.778,,,
