gene_name,log10FPKM,,,
adgre5b.2,-0.237,,,
adgre5b.3,1.072,,,
adgre7,-4.000,,,
adgre8,-4.000,,,
adgre9,-0.579,,,
adgrf11,-4.000,,,
adgrf3a,-4.000,,,
adgrf3b,0.280,,,
adgrf6,-1.155,,,
adgrf7,-0.569,,,
adgrf8,-2.176,,,
adgrg1,1.366,,,
adgrg11,-1.699,,,
adgrg2a,-0.141,,,
adgrg3,-0.933,,,
adgrg4a,-0.729,,,
adgrg4b,-4.000,,,
adgrg6,1.557,,,
adgrg7.1,-4.000,,,
adgrg7.2,-0.805,,,
adgrl1.1,-0.495,,,
adgrl1a,-0.569,,,
adgrl2a,0.878,,,
adgrl2b.1,-0.678,,,
ADGRL3,0.109,,,
adgrl3.1,0.089,,,
adgrl4,-0.232,,,
adgrv1,0.277,,,
adh5,1.872,,,
adh8a,-0.946,,,
adh8b,1.813,,,
adhfe1,1.035,,,
adi1,1.329,,,
adipoqa,-1.097,,,
adipoqb,-4.000,,,
adipor1a,1.307,,,
adipor1b,1.347,,,
adipor2,1.815,,,
adka,1.696,,,
adkb,1.310,,,
adm2a,0.964,,,
adm2b,-0.946,,,
adma,1.208,,,
admb,1.194,,,
admp,-4.000,,,
adnp2a,0.649,,,
adnp2b,1.338,,,
adnpa,1.324,,,
adnpb,0.657,,,
adoa,0.942,,,
adob,0.866,,,
adora1a,-4.000,,,
adora1b,-0.834,,,
adora2aa,0.293,,,
adora2ab,-0.287,,,
adora2b,0.870,,,
adpgk,0.884,,,
adpgk2,0.248,,,
adprh,0.796,,,
adprhl1,-1.046,,,
adprhl2,0.587,,,
adprm,0.780,,,
adra1aa,-0.292,,,
adra1ab,-1.155,,,
adra1ba,0.512,,,
adra1bb,-2.176,,,
adra1d,-0.121,,,
adra2a,-0.095,,,
adra2b,-0.194,,,
adra2c,-0.824,,,
adra2da,-0.006,,,
adra2db,-4.000,,,
adrb1,-0.117,,,
adrb2a,0.161,,,
adrb2b,-4.000,,,
adrb3a,0.735,,,
adrb3b,-0.787,,,
adrm1,1.537,,,
adsl,1.246,,,
adss,0.704,,,
adssl,1.546,,,
adssl1,0.016,,,
adtrp1,0.978,,,
aebp1,1.289,,,
aebp2,1.071,,,
aep1,3.073,,,
aes,0.612,,,
afap1,1.155,,,
afap1l1a,0.997,,,
afap1l1b,0.198,,,
afap1l2,1.005,,,
afdna,0.428,,,
aff1,-0.921,,,
aff2,0.041,,,
aff3,1.191,,,
aff4,0.650,,,
afg1la,0.318,,,
afg1lb,-0.010,,,
afg3l2,1.006,,,
afmid,0.561,,,
afp4,0.023,,,
aftpha,0.963,,,
aftphb,0.692,,,
aga,1.061,,,
agap1,1.067,,,
agap2,-0.257,,,
agap3,1.132,,,
AGBL1,-1.699,,,
agbl2,-0.244,,,
agbl4,-0.189,,,
agbl5,0.907,,,
agfg1a,0.981,,,
agfg1b,0.897,,,
aggf1,0.593,,,
agk,0.939,,,
agla,0.875,,,
aglb,-0.886,,,
agmat,-0.067,,,
agmo,0.591,,,
ago1,0.468,,,
ago2,0.481,,,
ago3a,0.769,,,
ago3b,0.934,,,
ago4,0.604,,,
agpat2,0.758,,,
agpat3,1.788,,,
agpat4,1.387,,,
agpat5,1.194,,,
agpat9l,1.241,,,
agps,1.047,,,
agr1,2.207,,,
agr2,2.455,,,
agrn,1.665,,,
agrp,0.708,,,
agt,-1.046,,,
agtpbp1,0.230,,,
agtr1a,-0.864,,,
agtr1b,0.035,,,
agtr2,1.066,,,
agtrap,-0.370,,,
agxt2,1.317,,,
agxta,0.108,,,
agxtb,0.076,,,
ahctf1,0.787,,,
ahcy,2.049,,,
ahcyl1,1.362,,,
ahcyl2,1.538,,,
ahdc1,0.059,,,
ahi1,0.403,,,
ahnak,1.327,,,
ahr1a,-0.959,,,
ahr1b,-0.972,,,
ahr2,1.322,,,
ahrra,-0.886,,,
ahrrb,-2.176,,,
ahsa1a,-0.278,,,
ahsa1b,1.230,,,
ahsg1,-4.000,,,
ahsg2,-4.000,,,
aicda,-4.000,,,
aida,1.246,,,
aif1l,0.473,,,
aifm1,1.399,,,
aifm2,1.728,,,
aifm3,-0.921,,,
aifm4,0.913,,,
aifm5,-1.875,,,
aig1,-0.563,,,
aimp1,1.489,,,
aimp2,1.479,,,
aip,1.678,,,
aipl1,-0.558,,,
aipl2,-0.215,,,
aire,-0.608,,,
ajap1,-0.875,,,
ajuba,1.647,,,
ak1,2.621,,,
ak2,2.042,,,
ak3,1.404,,,
ak4,1.307,,,
ak5,-0.083,,,
ak5l,1.375,,,
AK6,1.297,,,
ak7a,-0.147,,,
ak7b,0.063,,,
ak8,0.160,,,
ak9,-0.268,,,
akap10,0.774,,,
akap11,0.013,,,
akap12a,-2.176,,,
akap12b,1.607,,,
akap13,-0.626,,,
akap17a,0.342,,,
akap1a,-4.000,,,
akap1b,0.963,,,
akap6,-0.344,,,
akap7,-0.095,,,
akap8l,1.493,,,
akap9,0.900,,,
akip1,0.479,,,
akirin1,1.735,,,
akirin2,1.396,,,
akna,-0.219,,,
aknad1,-0.384,,,
akr1a1a,-4.000,,,
akr1a1b,1.313,,,
akr1b1,0.610,,,
akr7a3,1.154,,,
akt1,0.553,,,
akt1s1,1.714,,,
akt2,1.208,,,
akt2l,1.372,,,
akt3a,-0.217,,,
akt3b,0.223,,,
aktip,1.777,,,
AL590134.1,-1.699,,,
AL590145.1,-1.222,,,
AL590146.1,-4.000,,,
AL590149.1,-0.440,,,
AL590150.1,0.099,,,
AL590151.1,0.228,,,
AL590151.2,-4.000,,,
AL590152.1,-4.000,,,
AL627088.1,-4.000,,,
AL627126.1,-4.000,,,
AL627164.1,-4.000,,,
AL627258.1,-4.000,,,
AL627305.1,-0.986,,,
AL627305.2,-4.000,,,
AL627305.3,-0.664,,,
AL645691.1,-1.115,,,
AL645691.2,-0.224,,,
AL645792.1,-4.000,,,
AL645792.2,-0.737,,,
AL732488.1,1.400,,,
AL732515.1,-4.000,,,
AL732567.1,-1.273,,,
AL732629.1,-4.000,,,
AL772146.1,-4.000,,,
AL772146.2,-0.632,,,
AL772219.1,-1.699,,,
AL772298.1,-4.000,,,
AL772298.3,-4.000,,,
AL772300.1,0.229,,,
AL772300.2,-2.000,,,
AL772314.1,-4.000,,,
AL772362.1,-0.854,,,
AL772373.1,-0.270,,,
AL772382.1,0.346,,,
AL773558.1,-0.227,,,
AL805905.1,-4.000,,,
AL807389.1,-4.000,,,
AL807749.1,-1.115,,,
AL807749.2,-4.000,,,
AL807792.1,-1.247,,,
AL808121.1,-4.000,,,
AL808129.1,-0.310,,,
AL808129.2,-4.000,,,
AL831726.1,-4.000,,,
AL831726.2,-4.000,,,
AL831726.3,-2.176,,,
AL831745.1,-0.796,,,
AL831745.2,-1.079,,,
AL831745.3,-1.247,,,
AL831768.1,-1.097,,,
AL833789.1,-1.198,,,
AL840638.1,0.324,,,
AL840638.2,-4.000,,,
AL844141.1,-1.176,,,
AL844172.1,-0.244,,,
AL844185.1,-4.000,,,
AL844186.1,-0.292,,,
AL844192.1,-4.000,,,
AL844518.1,-0.796,,,
AL844563.1,-4.000,,,
AL845295.1,-1.155,,,
AL845295.2,-4.000,,,
AL845306.1,-4.000,,,
AL845312.1,-4.000,,,
AL845320.1,-0.490,,,
AL845320.2,-4.000,,,
AL845324.1,-2.000,,,
AL845324.2,-4.000,,,
AL845330.1,-4.000,,,
AL845357.1,-4.000,,,
AL845362.1,0.151,,,
AL845365.1,-4.000,,,
AL845369.1,-4.000,,,
AL845369.2,-4.000,,,
AL845419.1,-1.331,,,
AL845428.1,-4.000,,,
AL845428.2,-4.000,,,
AL845428.3,-4.000,,,
AL845435.1,-4.000,,,
AL845550.1,0.277,,,
AL928650.1,-4.000,,,
AL928650.2,0.421,,,
AL928650.3,-0.357,,,
AL928650.4,-0.039,,,
AL928657.1,-0.119,,,
AL928657.2,-4.000,,,
AL928685.1,-4.000,,,
AL928685.2,0.130,,,
AL928685.3,-4.000,,,
AL928685.4,-4.000,,,
AL928707.1,-4.000,,,
AL928707.2,-4.000,,,
AL928707.3,-4.000,,,
AL928714.1,-1.875,,,
AL928716.1,-4.000,,,
AL928724.1,-0.921,,,
AL928725.1,-4.000,,,
AL928808.1,-1.699,,,
AL928824.1,-1.135,,,
AL928824.2,-0.558,,,
AL928824.3,-2.176,,,
AL928835.1,-4.000,,,
AL928845.1,-1.477,,,
AL928851.1,-4.000,,,
AL928854.1,-0.729,,,
AL928866.1,-4.000,,,
AL928866.2,-4.000,,,
AL928870.1,-4.000,,,
AL928875.1,-4.000,,,
AL928881.1,-4.000,,,
AL928908.1,-4.000,,,
AL928908.2,-4.000,,,
AL928908.3,-0.131,,,
AL928920.1,-4.000,,,
AL928920.2,-4.000,,,
AL928920.3,-0.770,,,
AL928920.4,-4.000,,,
AL928927.1,-4.000,,,
AL928951.1,-4.000,,,
AL928977.1,-4.000,,,
AL929009.1,-0.533,,,
AL929009.2,-4.000,,,
AL929017.1,-1.699,,,
AL929017.2,-4.000,,,
AL929023.1,-4.000,,,
AL929028.1,-0.678,,,
AL929032.1,-4.000,,,
AL929048.1,-1.632,,,
AL929058.1,-4.000,,,
AL929092.1,-4.000,,,
AL929105.1,-4.000,,,
AL929114.1,-1.436,,,
AL929114.2,-0.074,,,
AL929171.1,-4.000,,,
AL929182.1,-1.097,,,
AL929192.1,-4.000,,,
AL929208.1,-1.875,,,
AL929210.1,-0.699,,,
AL929210.2,-0.229,,,
AL929216.1,-4.000,,,
AL929217.1,-4.000,,,
AL929220.1,-1.523,,,
AL929222.1,-4.000,,,
AL929222.2,1.060,,,
AL929229.1,-4.000,,,
AL929237.1,-0.854,,,
AL929237.3,-0.753,,,
AL929237.4,-4.000,,,
AL929243.1,-0.692,,,
AL929266.1,-4.000,,,
AL929276.1,-1.247,,,
AL929276.2,-4.000,,,
AL929294.1,-4.000,,,
AL929304.1,-2.477,,,
AL929305.1,-4.000,,,
AL929307.1,-4.000,,,
AL929309.1,-4.000,,,
AL929315.1,-4.000,,,
AL929321.1,-4.000,,,
AL929321.2,-4.000,,,
AL929321.3,-4.000,,,
AL929321.4,-4.000,,,
AL929334.1,-4.000,,,
AL929345.1,-4.000,,,
AL929349.1,-4.000,,,
AL929378.1,-4.000,,,
AL929396.1,-1.875,,,
AL929435.1,1.241,,,
AL929435.2,-4.000,,,
AL929453.1,-4.000,,,
AL929457.1,-4.000,,,
AL929457.2,-4.000,,,
AL929493.1,-4.000,,,
AL929493.2,-4.000,,,
AL929520.1,-4.000,,,
AL929520.2,-4.000,,,
AL929520.3,-4.000,,,
AL929523.1,-4.000,,,
AL929536.3,0.033,,,
AL929536.5,0.888,,,
AL929536.6,-4.000,,,
AL929576.1,-0.278,,,
AL929586.1,-1.699,,,
AL935044.1,-4.000,,,
AL935044.2,-0.921,,,
AL935044.3,-0.946,,,
AL935044.4,-4.000,,,
AL935053.1,-0.854,,,
AL935065.1,-1.273,,,
AL935115.1,-1.398,,,
AL935117.1,-4.000,,,
AL935126.1,-4.000,,,
AL935126.2,-1.574,,,
AL935144.1,-4.000,,,
AL935145.1,-4.000,,,
AL935145.2,-0.394,,,
AL935153.1,0.209,,,
AL935166.1,-0.959,,,
AL935174.2,0.894,,,
AL935174.3,-0.504,,,
AL935174.5,1.169,,,
AL935183.1,-4.000,,,
AL935184.1,-0.678,,,
AL935184.2,-0.428,,,
AL935186.1,-1.115,,,
AL935186.2,-0.745,,,
AL935186.6,1.759,,,
AL935186.9,1.420,,,
AL935195.1,-4.000,,,
AL935198.1,-1.436,,,
AL935198.2,-0.579,,,
AL935199.1,-1.222,,,
AL935269.1,-4.000,,,
AL935279.1,-4.000,,,
AL935292.1,-4.000,,,
AL935294.1,-4.000,,,
AL935294.2,-1.331,,,
AL935295.1,-0.585,,,
AL935295.2,-0.854,,,
AL935299.1,-4.000,,,
AL935300.1,-0.651,,,
AL935300.2,-1.198,,,
AL935300.3,-0.219,,,
AL935303.1,-4.000,,,
AL935322.1,-4.000,,,
AL935334.1,-4.000,,,
AL953841.1,-4.000,,,
AL953841.2,-0.909,,,
AL953848.2,-4.000,,,
AL953855.1,-4.000,,,
AL953858.1,-4.000,,,
AL953865.1,-2.000,,,
AL953866.1,-4.000,,,
AL953867.1,-0.834,,,
AL953867.2,-0.432,,,
AL953875.1,-1.523,,,
AL953886.1,-0.499,,,
AL953886.2,-4.000,,,
AL953893.1,-4.000,,,
AL953894.1,-4.000,,,
AL953896.1,-4.000,,,
AL953903.1,-4.000,,,
AL953903.2,-4.000,,,
AL953903.3,-4.000,,,
AL953907.1,-2.477,,,
AL953907.2,-2.176,,,
AL953910.1,-4.000,,,
AL954129.1,-1.198,,,
AL954134.1,-1.699,,,
AL954134.2,-4.000,,,
AL954137.1,-4.000,,,
AL954137.2,-4.000,,,
AL954138.1,-1.273,,,
AL954142.1,-4.000,,,
AL954142.2,-1.523,,,
AL954142.3,-4.000,,,
AL954145.1,-1.000,,,
AL954145.2,-4.000,,,
AL954146.1,0.009,,,
AL954149.1,-4.000,,,
AL954149.2,0.011,,,
AL954187.1,-4.000,,,
AL954191.1,-0.249,,,
AL954317.1,-4.000,,,
AL954320.1,-4.000,,,
AL954322.2,0.670,,,
AL954322.3,0.346,,,
AL954327.1,-0.658,,,
AL954359.1,-0.083,,,
AL954361.1,-4.000,,,
AL954387.1,-1.632,,,
AL954655.1,-4.000,,,
AL954655.2,0.546,,,
AL954666.1,-4.000,,,
AL954669.1,-1.198,,,
AL954672.1,-4.000,,,
AL954682.1,1.681,,,
AL954694.1,-0.543,,,
AL954694.2,-4.000,,,
AL954695.1,-1.079,,,
AL954695.2,-4.000,,,
AL954695.3,-1.135,,,
AL954696.1,0.220,,,
AL954696.2,-4.000,,,
AL954698.1,-4.000,,,
AL954698.2,-4.000,,,
AL954703.1,-4.000,,,
AL954741.1,-0.278,,,
AL954741.2,0.362,,,
AL954767.1,-4.000,,,
AL954831.1,-1.363,,,
AL954832.1,-4.000,,,
AL954848.1,-4.000,,,
AL954861.1,-4.000,,,
AL954861.2,-4.000,,,
alad,1.197,,,
alas1,2.376,,,
alas2,-0.137,,,
alcama,1.795,,,
alcamb,1.849,,,
aldh16a1,0.856,,,
aldh18a1,1.116,,,
aldh1a2,0.985,,,
aldh1a3,0.472,,,
aldh1l1,1.171,,,
aldh1l2,0.903,,,
aldh2.1,1.537,,,
aldh2.2,2.083,,,
aldh3a1,0.294,,,
aldh3a2a,0.974,,,
aldh3a2b,0.577,,,
aldh3b1,1.315,,,
aldh3b2,-0.864,,,
aldh4a1,0.625,,,
aldh5a1,0.919,,,
aldh6a1,1.551,,,
aldh7a1,1.552,,,
aldh8a1,0.330,,,
aldh9a1a.1,2.177,,,
aldh9a1a.2,-0.028,,,
aldh9a1b,0.955,,,
aldoaa,2.078,,,
aldoab,1.481,,,
aldob,2.064,,,
aldoca,-4.000,,,
aldocb,1.493,,,
alg1,1.019,,,
alg10,0.266,,,
alg11,0.615,,,
alg12,1.097,,,
alg13,-1.574,,,
alg14,0.918,,,
alg2,1.324,,,
alg3,1.100,,,
alg5,1.689,,,
alg6,1.082,,,
alg8,0.693,,,
alg9,1.062,,,
alk,-1.155,,,
alkal1,-4.000,,,
alkal2a,-0.409,,,
alkal2b,-1.398,,,
alkbh1,0.463,,,
alkbh2,0.586,,,
alkbh3,1.038,,,
alkbh4,0.486,,,
alkbh5,0.807,,,
alkbh6,0.710,,,
alkbh7,0.685,,,
alkbh8,0.236,,,
allc,-0.921,,,
alms1,0.563,,,
alox12,1.312,,,
alox5a,0.781,,,
alox5ap,-1.176,,,
alox5b.1,-4.000,,,
alox5b.2,-4.000,,,
alox5b.3,-4.000,,,
ALOXE3,-4.000,,,
alp3,-0.844,,,
alpi.1,1.561,,,
alpi.2,-0.553,,,
alpk2,-0.706,,,
alpk3a,-0.972,,,
alpk3b,-4.000,,,
alpl,0.903,,,
als2a,0.441,,,
als2b,0.448,,,
alx1,0.727,,,
alx4a,0.712,,,
alx4b,0.203,,,
alyref,2.145,,,
amacr,0.446,,,
ambn,-4.000,,,
ambp,-0.645,,,
ambra1a,0.679,,,
ambra1b,0.167,,,
amd1,0.933,,,
AMDHD1,-0.972,,,
amdhd2,0.762,,,
amer1,0.655,,,
amer2,0.778,,,
amfra,1.193,,,
amfrb,-0.745,,,
amh,-2.176,,,
amigo1,-0.229,,,
amigo3,0.108,,,
ammecr1,1.336,,,
amn,-0.513,,,
amn1,0.652,,,
amot,0.532,,,
amotl2a,1.635,,,
amotl2b,1.809,,,
ampd1,0.523,,,
ampd2a,0.568,,,
ampd2b,-0.262,,,
ampd3a,-0.060,,,
ampd3b,1.610,,,
amph,0.115,,,
amt,1.001,,,
amy2a,-0.161,,,
anapc1,0.701,,,
anapc10,1.304,,,
anapc11,1.822,,,
anapc13,1.502,,,
anapc15,1.290,,,
anapc16,1.861,,,
anapc2,0.874,,,
anapc4,0.783,,,
anapc5,0.572,,,
anapc7,0.864,,,
and1,3.193,,,
and2,3.111,,,
and3,2.686,,,
and4,1.623,,,
angel1,-0.602,,,
angel2,1.019,,,
angpt1,0.477,,,
angpt2a,-1.632,,,
angpt2b,0.074,,,
angpt4,-0.229,,,
angptl1a,1.277,,,
angptl1b,0.506,,,
angptl2a,0.407,,,
angptl2b,0.874,,,
angptl3,-2.477,,,
angptl4,2.757,,,
angptl5,1.110,,,
angptl6,-0.001,,,
angptl7,2.102,,,
ank1a,0.831,,,
ank1b,-0.585,,,
ank2a,-2.176,,,
ank2b,0.465,,,
ank3a,1.273,,,
ank3b,1.115,,,
ankar,-0.745,,,
ankdd1a,-0.234,,,
ankdd1b,0.460,,,
ankef1a,-0.189,,,
ankef1b,-0.814,,,
ANKFN1,0.037,,,
ankfy1,0.738,,,
ankha,0.367,,,
ankhb,1.120,,,
ankhd1,0.784,,,
ankib1a,0.455,,,
ankib1b,0.650,,,
ankk1,0.384,,,
ankle2,0.403,,,
ankmy1,-0.192,,,
ankmy2a,0.621,,,
ankmy2b,-4.000,,,
ankra2,1.076,,,
ankrd10a,0.869,,,
ankrd10b,1.287,,,
ankrd11,0.881,,,
ankrd12,1.226,,,
ankrd13a,1.001,,,
ankrd13b,-0.337,,,
ankrd13c,1.476,,,
ankrd13d,-0.360,,,
ankrd16,0.525,,,
ankrd1a,0.675,,,
ankrd1b,-0.095,,,
ankrd2,-4.000,,,
ankrd22,1.572,,,
ankrd24,-0.123,,,
ankrd27,0.845,,,
ankrd28b,1.301,,,
ankrd29,-0.147,,,
ankrd31,-1.331,,,
ankrd33aa,-0.304,,,
ankrd33ab,-4.000,,,
ankrd33ba,0.007,,,
ankrd33bb,-1.247,,,
ankrd34a,-4.000,,,
ankrd34ba,-1.477,,,
ankrd34bb,-0.038,,,
ankrd37,-0.125,,,
ankrd39,0.340,,,
ankrd40,1.075,,,
ankrd44,0.047,,,
ankrd45,-0.347,,,
ankrd46a,0.735,,,
ankrd46b,0.412,,,
ankrd49,0.222,,,
ANKRD50,1.149,,,
ankrd50l,0.914,,,
ankrd52a,0.534,,,
ankrd52b,-0.304,,,
ankrd54,1.097,,,
ankrd55,-0.163,,,
ankrd63,-4.000,,,
ANKRD66,-0.133,,,
ankrd6a,-0.301,,,
ankrd6b,0.736,,,
ankrd9,0.471,,,
anks1aa,0.887,,,
anks1ab,-1.000,,,
